id,location,state,file,fileSource,latitude,longitude,Tout,ToutDailyVar,ToutAnnualVar,CDD18,CDD25,radDirNorm,radDiffHoriz,windSpeedMet,elevation,CDD18study
214,Santo Antônio do Leste,MT,BRA_MT_Santo.Antonio.do.Leste.866850_INMET.epw,INMET,-14.93,-53.88,23.68252283,10.50438356,13.37916667,2112.220833,421.6791667,101.4255708,92.50730594,2.5481621,648,1847.066667
215,São Félix do Araguaia,MT,BRA_MT_Sao.Felix.do.Araguaia.866280_INMET.epw,INMET,-11.62,-50.73,26.22321918,10.18849315,7.183333333,3001.7625,786.0166667,104.448516,93.29589041,1.366381279,218,2653.920833
216,São José do Rio Claro,MT,BRA_MT_Sao.Jose.do.Rio.Claro.866640_INMET.epw,INMET,-13.45,-56.72,24.77842466,12.12520548,12.54166667,2533.291667,672.1416667,66.76598174,101.327968,1.488538813,350,2250.591667
217,Sinop,MT,BRA_MT_Sinop.866260_INMET.epw,INMET,-11.86,-55.5,25.07813927,11.26273973,10.65,2596.5375,659.925,93.97739726,95.68869863,1.972134703,371,2310.475
218,Sorriso,MT,BRA_MT_Sorriso.866450_INMET.epw,INMET,-12.55,-55.71,25.36191781,10.6230137,9.9125,2697.504167,671.4166667,94.09440639,95.02123288,2.261906393,380,2401.533333
219,Tangará da Serra,MT,BRA_MT_Tangara.da.Serra.866820_INMET.epw,INMET,-14.62,-57.49,24.6294863,10.10821918,16.99583333,2479.541667,562.325,83.193379,97.36826484,3.043196347,322,2181.304167
220,Vila Bela da Santíssima Trindade,MT,BRA_MT_Vila.Bela.da.Santissima.Trindade.867010_INMET.epw,INMET,-15.01,-59.95,24.8040411,11.72684932,14.77916667,2566.0875,679.6166667,95.54646119,91.61289954,1.226917808,222,2240.375
221,Belém,PA,BRA_PA_Belem.816800_INMET.epw,INMET,-1.46,-48.5,27.15961187,8.259726027,4.7625,3343.258333,867.2208333,63.27659817,103.9011416,0.986426941,24,2949.479167
222,Bragança,PA,BRA_PA_Braganca.816850_INMET.epw,INMET,-1.05,-46.78,26.47391553,7.522191781,5.483333333,3092.979167,702.4291667,73.1446347,104.1305936,1.772534247,33,2707.8
223,Cametá,PA,BRA_PA_Cameta.817100_INMET.epw,INMET,-2.25,-49.49,27.21635845,7.483561644,5.845833333,3363.970833,894.6916667,101.3119863,97.62180365,1.59609589,22,2958.591667
224,Castanhal,PA,BRA_PA_Castanhal.816820_INMET.epw,INMET,-1.3,-47.92,26.20378995,8.682465753,4.4625,2994.383333,671.8,99.38732877,102.808105,2.41140411,65,2617.991667
225,Conceição do Araguaia,PA,BRA_PA_Conceicao.do.Araguaia.819400_INMET.epw,INMET,-6.28,-49.27,26.76690639,10.44219178,7.841666667,3199.920833,924.8541667,81.68527397,99.62694064,1.359452055,180,2808.054167
226,Itaituba,PA,BRA_PA_Itaituba.817780_INMET.epw,INMET,-4.28,-55.99,26.86221461,7.904931507,6.066666667,3234.708333,793.2625,81.83550228,95.46575342,0.927876712,13,2845.145833
227,Marabá,PA,BRA_PA_Maraba.825620_INMET.epw,INMET,-5.37,-49.12,26.49401826,9.349863014,5.491666667,3100.316667,794.4166667,82.41415525,99.29212329,1.13489726,84,2746.179167
228,Novo Repartimento,PA,BRA_PA_Novo.Repartimento.817840_INMET.epw,INMET,-4.26,-49.93,26.31906393,8.432328767,5.520833333,3036.458333,716.7458333,71.44280822,101.3058219,1.608835616,113,2671.225
229,Pacajá,PA,BRA_PA_Pacaja.817420_INMET.epw,INMET,-3.84,-50.64,26.09781963,8.707945205,5.045833333,2955.708333,689.8541667,63.45422374,104.0390411,1.087100457,108,2611.916667
230,Paragominas,PA,BRA_PA_Paragominas.817450_INMET.epw,INMET,-3.01,-47.34,26.36994292,9.850958904,5.904166667,3055.054167,807.0041667,91.15993151,104.3172374,1.558184932,101,2715.654167
231,Placas,PA,BRA_PA_Placas.817370_INMET.epw,INMET,-3.86,-54.22,26.26666667,9.024657534,5.6875,3017.333333,735.8958333,61.62739726,103.3364155,1.026952055,96,2666.591667
232,Rondon do Pará,PA,BRA_PA_Rondon.do.Para.817860_INMET.epw,INMET,-4.78,-48.07,26.33827626,9.86739726,6.279166667,3043.470833,791.65,76.27910959,103.9996575,1.588493151,221,2683.116667
233,Salinópolis,PA,BRA_PA_Salinopolis.816600_INMET.epw,INMET,-0.62,-47.35,27.16197489,4.722191781,5.070833333,3344.120833,848.2416667,75.39474886,102.5238584,3.008915525,20,2923.166667
234,Santana do Araguaia,PA,BRA_PA_Santana.do.Araguaia.819820_INMET.epw,INMET,-9.34,-50.33,26.33135845,10.65287671,7.666666667,3040.979167,836.1708333,74.58458904,100.8325342,1.290570776,168,2678.020833
235,Serra dos Carajás,PA,BRA_PA_Serra.dos.Carajas.818600_INMET.epw,INMET,-6.08,-50.14,23.66492009,5.49260274,6.825,2067.7,157.5541667,59.02751142,103.4240868,2.976860731,719,1817.429167
